sentiment,days,avg_daily_trades,avg_daily_volume,avg_daily_leverage,avg_daily_pnl
Extreme Fear,6,387.6666666666667,953676.9930480333,927.0091566125235,733.3227585
Extreme Greed,43,130.72093023255815,2144778.8673924673,23912.586574234676,26904.504083162792
Fear,37,374.8378378378378,1206927.3120316912,12007.33813398095,48087.17790956757
Greed,56,201.64285714285714,3015823.6334306416,23803.944525899027,10886.295225642858
Neutral,16,172.25,3052417.257849581,17594.360680847003,4666.04637375
Unknown,30,1445.3666666666666,3920386.1076421137,2825.341977406627,68471.88543753333
